id,category,type,name,code,datasheet_url,photo_url,specifications,filters,created_at,updated_at
03edd79d-975f-4304-9025-33fff50287f3,sensors-switches,temp-humid,TxTA03 Armored Temperature Sensor,TxTA03-V10-25-1-1-G2-1-1-1,https://neowave.tech/wp-content/uploads/2025/03/TxTA03-2.pdf,,"[{""name"":""Temperature Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTA03V10""},{""code"":""A"",""label"":""4~20mA(2-wire)"",""value"":""TxTA03A""},{""code"":""RS"",""label"":""RS485/Modbus "",""value"":""TxTA03RS""},{""code"":""1"",""label"":""Pt100, ±0.2°C@0°C"",""value"":""TxTA031""},{""code"":""2"",""label"":""Pt1000, ±0.2°C@0°C "",""value"":""TxTA032""}]},{""name"":""Accuracy "",""options"":[{""code"":""25"",""label"":""0.25%FS "",""value"":""TxTA0325""},{""code"":""50"",""label"":""0.5%FS "",""value"":""TxTA0350""}]},{""name"":""Temperature  Range"",""options"":[{""code"":""1"",""label"":""0~100℃ "",""value"":""TxTA031""},{""code"":""2"",""label"":""0~200℃ (with cold end) "",""value"":""TxTA032""},{""code"":""3"",""label"":""0~300℃ (with cold end) "",""value"":""TxTA033""},{""code"":""4"",""label"":""-50~150℃ (with cold end) "",""value"":""TxTA034""},{""code"":""5"",""label"":""-50~300℃ (with cold end) "",""value"":""TxTA035""},{""code"":""9"",""label"":""customized (-50~300℃) "",""value"":""TxTA039""}]},{""name"":""Wiring Box "",""options"":[{""code"":""1"",""label"":""Wiring Box "",""value"":""TxTA031""}]},{""name"":""Installation Method "",""options"":[{""code"":""G2"",""label"":""G1/2 male (fixed thread installation"",""value"":""TxTA03G2""},{""code"":""G4"",""label"":""G1/4 male (fixed thread installation) "",""value"":""TxTA03G4""},{""code"":""M"",""label"":""M16*1.5 male (fixed thread installation) "",""value"":""TxTA03M""},{""code"":""M2"",""label"":""M20*1.5 male (fixed thread installation) "",""value"":""TxTA03M2""},{""code"":""M7"",""label"":""M27*2 male (fixed thread installation) "",""value"":""TxTA03M7""},{""code"":""C"",""label"":""Clamp (50.5MM) "",""value"":""TxTA03C""},{""code"":""D"",""label"":""Direct Insert Type "",""value"":""TxTA03D""}]},{""name"":""Protective Tube"",""options"":[{""code"":""1"",""label"":""Without"",""value"":""TxTA031""},{""code"":""2"",""label"":""With"",""value"":""TxTA032""}]},{""name"":""Probe length (without thread)"",""options"":[{""code"":""1"",""label"":""30mm (Sleeved Type )"",""value"":""TxTA031""},{""code"":""2"",""label"":""50mm (Sleeved Type )"",""value"":""TxTA032""},{""code"":""3"",""label"":""100mm (Sleeved Type )"",""value"":""TxTA033""},{""code"":""4"",""label"":""150mm (Sleeved Type )"",""value"":""TxTA034""},{""code"":""5"",""label"":""200mm (Sleeved Type )"",""value"":""TxTA035""},{""code"":""6"",""label"":""300mm (Sleeved Type )"",""value"":""TxTA036""},{""code"":""9"",""label"":""customized  (Sleeved Type )"",""value"":""TxTA039""},{""code"":""1D"",""label"":""130mm (Direct Insert Type )"",""value"":""TxTA031D""},{""code"":""2D"",""label"":""200mm (Direct Insert Type )"",""value"":""TxTA032D""},{""code"":""3D"",""label"":""250mm (Direct Insert Type )"",""value"":""TxTA033D""},{""code"":""4D"",""label"":""300mm (Direct Insert Type )"",""value"":""TxTA034D""},{""code"":""5D"",""label"":""400mm (Direct Insert Type )"",""value"":""TxTA035D""},{""code"":""9D"",""label"":""customized (Direct Insert Type )"",""value"":""TxTA039D""}]},{""name"":""Code End "",""options"":[{""code"":""1"",""label"":""Without cold end (15mm) "",""value"":""TxTA031""},{""code"":""2"",""label"":""Cold end length 100mm) "",""value"":""TxTA032""},{""code"":""9"",""label"":""Customized "",""value"":""TxTA039""}]}]","[""temp-humid-temperature-only""]",2025-08-02 07:40:35.402403+00,2025-08-02 07:40:35.402403+00
1d9184ee-bf40-4702-9a4d-625b5e99f925,sensors-switches,air-quality,TxCOI32 Room Carbon Monoxide Sensor,TxCOI32-1-AV-1-1,https://neowave.tech/wp-content/uploads/2024/11/TxCOI32-3.pdf,,"[{""name"":"" Range"",""options"":[{""code"":""1"",""label"":""100ppm "",""value"":""TxCOI321""},{""code"":""2"",""label"":""250ppm "",""value"":""TxCOI322""},{""code"":""4"",""label"":""400ppm "",""value"":""TxCOI324""}]},{""name"":"" Output"",""options"":[{""code"":""AV"",""label"":""4-20mA &0~10V"",""value"":""TxCOI32VA""},{""code"":""RS"",""label"":""RS485Modbus"",""value"":""TxCOI32RS""}]},{""name"":""Display"",""options"":[{""code"":""1"",""label"":""Without Display"",""value"":""TxCOI321""},{""code"":""2"",""label"":""With Display"",""value"":""TxCOI322""}]},{""name"":""Relay"",""options"":[{""code"":""1"",""label"":""No relay"",""value"":""TxCOI321""},{""code"":""2"",""label"":""1xSPDT"",""value"":""TxCOI322""}]}]","[""air-quality-indoor"",""air-quality-co""]",2025-08-03 12:54:25.990461+00,2025-08-03 12:54:25.990461+00
1f8d125a-b5be-45e0-a752-3427ca8f8e71,sensors-switches,temp-humid,"TxTHV94-XP Room VOC, Humidity and Temperature Sensor",TxTHV94-XP-1-1-B,,,"[{""name"":""Communication Options"",""options"":[{""code"":""1"",""label"":""Modbus RS485"",""value"":""TxTHV94-XP1""},{""code"":""2"",""label"":""BACnet MS/TP"",""value"":""TxTHV94-XP2""}]},{""name"":""Interface Options"",""options"":[{""code"":""1"",""label"":""No Interface"",""value"":""TxTHV94-XP1""},{""code"":""2"",""label"":""Colour Display"",""value"":""TxTHV94-XP2""}]},{""name"":""Colour Options"",""options"":[{""code"":""B"",""label"":""Black"",""value"":""TxTHV94-XPB""},{""code"":""W"",""label"":""White"",""value"":""TxTHV94-XPW""}]}]","[""temp-humid-temperature-&-humidity"",""temp-humid-indoor""]",2025-08-03 17:45:48.506328+00,2025-08-03 17:45:48.506328+00
392973ff-3173-4859-b72a-1ed8641e3af2,sensors-switches,air-quality,TxCDW33 Wall-mounted Carbon Dioxide Sensor,TxCDW33-2-AV5-S-T,https://neowave.tech/wp-content/uploads/2024/02/TxCDW33-1.pdf,,"[{""name"":""Range"",""options"":[{""code"":""2"",""label"":""2000ppm "",""value"":""TxCDW332""},{""code"":""5"",""label"":""5000ppm "",""value"":""TxCDW335""},{""code"":""8"",""label"":""10000ppm "",""value"":""TxCDW338""}]},{""name"":"" Output"",""options"":[{""code"":""AV5"",""label"":""4-20mA &0~5V"",""value"":""TxCDW33AV5""},{""code"":""AV10"",""label"":""4-20mA &0~10V"",""value"":""TxCDW33AV10""},{""code"":""RS"",""label"":""RS485Modbus"",""value"":""TxCDW33RS""}]},{""name"":""Cable Outlet"",""options"":[{""code"":""S"",""label"":""Side outlet "",""value"":""TxCDW33S""},{""code"":""R"",""label"":""Rear outlet "",""value"":""TxCDW33R""}]},{""name"":""Outlet Form"",""options"":[{""code"":""T"",""label"":""Terminal outlet "",""value"":""TxCDW33T""},{""code"":""D"",""label"":""Direct outlet"",""value"":""TxCDW33D""}]}]","[""air-quality-co2"",""air-quality-wall-mounted""]",2025-08-03 12:24:30.192489+00,2025-08-03 12:24:30.192489+00
47de7272-1302-4cac-9443-9f7e5c38d78e,sensors-switches,temp-humid,TxTI04 Integrated Temperature Sensor,TxTI04-V10-1-G2-1-1-1,https://neowave.tech/wp-content/uploads/2025/03/TxTI04-2.pdf,,"[{""name"":""Temperature Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTI04V10""},{""code"":""A"",""label"":""4~20mA(2-wire)"",""value"":""TxTI04A""},{""code"":""1"",""label"":""Pt100, ±0.2°C@0°C"",""value"":""TxTI041""},{""code"":""2"",""label"":""Pt1000, ±0.2°C@0°C "",""value"":""TxTI042""}]},{""name"":""Temperature  Range"",""options"":[{""code"":""1"",""label"":""0~100℃ "",""value"":""TxTI041""},{""code"":""2"",""label"":""0-200°C "",""value"":""TxTI042""},{""code"":""3"",""label"":""-50-50°C "",""value"":""TxTI043""},{""code"":""4"",""label"":""-50-100°C "",""value"":""TxTI044""},{""code"":""5"",""label"":""-50-200°C "",""value"":""TxTI045""},{""code"":""9"",""label"":""customized (-50-200°C) "",""value"":""TxTI049""}]},{""name"":""Installation Method "",""options"":[{""code"":""G2"",""label"":""G1/2 male (fixed thread installation)"",""value"":""TxTI04G2""},{""code"":""G4"",""label"":""G1/4 male (fixed thread installation) "",""value"":""TxTI04G4""},{""code"":""M"",""label"":""M20-1.5 male (fixed thread installation) "",""value"":""TxTI04M""},{""code"":""C"",""label"":""clamp (50.5MM) "",""value"":""TxTI04C""},{""code"":""D"",""label"":""Direct Insert Type "",""value"":""TxTI04D""}]},{""name"":""Protective Tube"",""options"":[{""code"":""1"",""label"":""without "",""value"":""TxTI041""},{""code"":""2"",""label"":""with"",""value"":""TxTI042""}]},{""name"":""Probe Length"",""options"":[{""code"":""1"",""label"":""30mm (Integrated Type )"",""value"":""TxTI041""},{""code"":""2"",""label"":""50mm (Integrated Type )"",""value"":""TxTI042""},{""code"":""3"",""label"":""100mm (Integrated Type )"",""value"":""TxTI043""},{""code"":""4"",""label"":""150mm (Integrated Type )"",""value"":""TxTI044""},{""code"":""5"",""label"":""200mm (Integrated Type )"",""value"":""TxTI045""},{""code"":""6"",""label"":""300mm (Integrated Type )"",""value"":""TxTI046""},{""code"":""9"",""label"":""customized (Integrated Type )"",""value"":""TxTI049""},{""code"":""1D"",""label"":""130mm (Direct Insert Type) "",""value"":""TxTI041D""},{""code"":""2D"",""label"":""200mm (Direct Insert Type) "",""value"":""TxTI042D""},{""code"":""3D"",""label"":""250mm (Direct Insert Type) "",""value"":""TxTI043D""},{""code"":""4D"",""label"":""300mm (Direct Insert Type) "",""value"":""TxTI044D""},{""code"":""5D"",""label"":""400mm (Direct Insert Type) "",""value"":""TxTI045D""},{""code"":""9D"",""label"":""customized (Direct Insert Type) "",""value"":""TxTI049D""}]},{""name"":""Display"",""options"":[{""code"":""1"",""label"":""Without Display"",""value"":""TxTI041""},{""code"":""2"",""label"":""With Display"",""value"":""TxTI042""}]}]","[""temp-humid-temperature-only"",""temp-humid-water""]",2025-08-02 07:06:20.832779+00,2025-08-02 07:06:20.832779+00
4d8670a3-c936-429b-bb4e-388fe89018e3,sensors-switches,temp-humid,TxTL93 Liquid Temperature and Level 2 in 1 Sensor,TxTL93-A-M-.5-M-1,https://neowave.tech/wp-content/uploads/2024/02/TxTL93.pdf,,"[{""name"":""Output Mode"",""options"":[{""code"":""A"",""label"":""(4~20) mA"",""value"":""TxTL93A""},{""code"":""V0"",""label"":""0.5 ~ 4.5V"",""value"":""TxTL93V0""},{""code"":""RS"",""label"":""RS485"",""value"":""TxTL93RS""}]},{""name"":""Unit"",""options"":[{""code"":""M"",""label"":""Meter"",""value"":""TxTL93M""},{""code"":""CM"",""label"":""Centimeter"",""value"":""TxTL93CM""}]},{""name"":""Accuracy"",""options"":[{""code"":"".5"",""label"":""0.5% F.S."",""value"":""TxTL930.5""}]},{""name"":""Electrical Connection"",""options"":[{""code"":""M"",""label"":""M12 waterproof outlet"",""value"":""TxTL93M""}]},{""name"":""Cable Length"",""options"":[{""code"":""1"",""label"":""1m"",""value"":""TxTL931""},{""code"":""2"",""label"":""2m"",""value"":""TxTL932""},{""code"":""3"",""label"":""3m"",""value"":""TxTL933""}]}]","[""temp-humid-water"",""temp-humid-temperature-only""]",2025-08-02 08:49:52.672312+00,2025-08-02 08:49:52.672312+00
514b13cb-5f9e-4581-bf7e-1b32fe150440,sensors-switches,temp-humid,TxTHP96 Probe Type Temperature and Humidity Sensor,TxTHP96-3-V10-V10-1,https://neowave.tech/wp-content/uploads/2024/02/TxTHP96-1.pdf,,"[{""name"":""Accuracy Range"",""options"":[{""code"":""3"",""label"":""±3%RH(±0.5°C)"",""value"":""TxTHP963""}]},{""name"":""Humidity Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTHP96V10""},{""code"":""A"",""label"":""4~20mA(two wires)"",""value"":""TxTHP96A""},{""code"":""RS"",""label"":""RS485/Modbus"",""value"":""TxTHP96RS""}]},{""name"":""Temperature Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTHP96V10""},{""code"":""A"",""label"":""4~20mA(two wires)"",""value"":""TxTHP96A""},{""code"":""RS"",""label"":""RS485/Modbus"",""value"":""TxTHP96A""}]},{""name"":""Temperature Range"",""options"":[{""code"":""1"",""label"":""NO"",""value"":""TxTHP961""},{""code"":""2"",""label"":""0~50°C"",""value"":""TxTHP962""},{""code"":""3"",""label"":""-20~60°C"",""value"":""TxTHP963""},{""code"":""9"",""label"":""Others (customerized)"",""value"":""TxTHP969""}]}]","[""temp-humid-temperature-&-humidity""]",2025-08-01 07:57:19.313999+00,2025-08-01 07:57:19.313999+00
693dd504-e0f4-4a59-af4b-812df4bc660b,sensors-switches,temp-humid,TxTHH99 High-temperature Temperature& Humidity Sensor,TxTHH99-V10-V10,https://neowave.tech/wp-content/uploads/2025/03/TxTHH99.pdf,,"[{""name"":"" Humidity Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTHH99V10""},{""code"":""A"",""label"":""4~20mA(2-wire)"",""value"":""TxTHH99A""},{""code"":""RS"",""label"":""RS485/Modbus"",""value"":""TxTHH99RS""}]},{""name"":""Temperature Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxTHH99V10""},{""code"":""A"",""label"":""4~20mA(2-wire)"",""value"":""TxTHH99A""},{""code"":""RS"",""label"":""RS485/Modbus"",""value"":""TxTHH99RS""}]}]","[""temp-humid-temperature-&-humidity""]",2025-08-02 08:23:12.739713+00,2025-08-02 08:23:12.739713+00
738f6b1b-9d38-475e-aa9f-8c7811f0c460,sensors-switches,air-quality,TxCOW31 Wall-mounted Carbon Monoxide Sensor,TxCOW31-1-V5,https://neowave.tech/wp-content/uploads/2024/02/TxCOW31-1.pdf,,"[{""name"":"" Range"",""options"":[{""code"":""1"",""label"":""500ppm "",""value"":""TxCOW311""},{""code"":""2"",""label"":""1000ppm "",""value"":""TxCOW312""}]},{""name"":"" Output"",""options"":[{""code"":""V5"",""label"":""0-5V "",""value"":""TxCDWV5""},{""code"":""V10"",""label"":""0-10V "",""value"":""TxCDWV10""},{""code"":""A"",""label"":""4~20mA"",""value"":""TxCDWA""},{""code"":""RS"",""label"":""RS485/Modbus"",""value"":""TxCDWRS""}]}]","[""air-quality-wall-mounted"",""air-quality-co""]",2025-08-03 12:47:17.982099+00,2025-08-03 12:47:17.982099+00
75c9dbbf-39f7-45e9-8df5-9165dfde3ddc,sensors-switches,air-quality,AQS820 Multi-in-one Air Quality Sensor,AQS820-.,https://neowave.tech/wp-content/uploads/2024/11/AQS820-1.pdf,,"[{""name"":""."",""options"":[{""code"":""."",""label"":""."",""value"":"".""}]}]","[""air-quality-all-quality-sensor-1754238848177""]",2025-08-03 16:39:47.525874+00,2025-08-03 16:39:47.525874+00
75cd5a63-2e22-48e0-9bc4-b54106a5fcc1,sensors-switches,temp-humid,TxT02 Temperature Sensor,TxT02-W-V10-1-1,https://neowave.tech/wp-content/uploads/2024/02/TxT02-2.pdf,,"[{""name"":""Model"",""options"":[{""code"":""W"",""label"":""Wall-mounted"",""value"":""TxT02W""},{""code"":""D"",""label"":""Duct type"",""value"":""TxT02D""},{""code"":""C"",""label"":""Clamp type"",""value"":""TxT02C""},{""code"":""S"",""label"":""Separated type"",""value"":""TxT02S""},{""code"":""P"",""label"":""Tube type/ water pipe type"",""value"":""TxT02P""}]},{""name"":""Temperature Output"",""options"":[{""code"":""V10"",""label"":""0~10VDC(3-wire)"",""value"":""TxT02V10""},{""code"":""A"",""label"":""4~20mA(2-wire)"",""value"":""TxT02A""},{""code"":""V5"",""label"":""0~5VDC(3 wire)"",""value"":""TxT02V5""},{""code"":""1"",""label"":""Pt100, ±0.2°C@0°C"",""value"":""TxT021""},{""code"":""2"",""label"":""Pt1000, ±0.2°C@0°C"",""value"":""TxT022""},{""code"":""3"",""label"":""NTC20K, ±0.4°C@25°C"",""value"":""TxT023""},{""code"":""4"",""label"":""Ni 1000, ±0.4°C@25°C"",""value"":""TxT024""},{""code"":""5"",""label"":""NTC10K-II,±0.4°C@25°C"",""value"":""TxT025""},{""code"":""6"",""label"":""NTC10K-III,±0.4°C@25°C"",""value"":""TxT026""},{""code"":""7"",""label"":""NTC10K-A,±0.4°C@25°C"",""value"":""TxT027""}]},{""name"":""Temperature Range"",""options"":[{""code"":""1"",""label"":""NO"",""value"":""TxT021""},{""code"":""2"",""label"":""0~50°C"",""value"":""TxT022""},{""code"":""3"",""label"":""20~60°C"",""value"":""TxT023""},{""code"":""9"",""label"":""Others (customerized)"",""value"":""TxT029""}]},{""name"":""Probe Length"",""options"":[{""code"":""1"",""label"":""65MM"",""value"":""TxT021""},{""code"":""2"",""label"":""100MM"",""value"":""TxT022""},{""code"":""3"",""label"":""150MM"",""value"":""TxT023""},{""code"":""4"",""label"":""200MM"",""value"":""TxT024""},{""code"":""9"",""label"":""Others (customerized)"",""value"":""TxT029""}]}]","[""temp-humid-duct"",""temp-humid-water"",""temp-humid-temperature-only""]",2025-08-01 05:40:59.464603+00,2025-08-01 05:40:59.464603+00
77d7739c-b943-4d73-826e-60c0990ff256,sensors-switches,air-quality,TxCDI35 Room Carbon Dioxide Sensor,TxCDI35-2-V5-1,https://neowave.tech/wp-content/uploads/2024/02/TxCDI35-1.pdf,,"[{""name"":"" Range"",""options"":[{""code"":""2"",""label"":""2000ppm "",""value"":""TxCDI352""},{""code"":""5"",""label"":""5000ppm "",""value"":""TxCDI355""}]},{""name"":"" Output"",""options"":[{""code"":""V5"",""label"":""0~5V"",""value"":""TxCDI35V5""},{""code"":""V10"",""label"":""0~10V"",""value"":""TxCDI35V10""},{""code"":""A"",""label"":""4-20mA"",""value"":""TxCDI35A""},{""code"":""RS"",""label"":""RS485Modbus"",""value"":""TxCDI35RS""}]},{""name"":""Display"",""options"":[{""code"":""1"",""label"":""Without Display"",""value"":""TxCDI351""},{""code"":""2"",""label"":""With Display"",""value"":""TxCDI352""}]}]","[""air-quality-co2"",""air-quality-indoor""]",2025-08-03 12:41:42.964882+00,2025-08-03 12:41:42.964882+00
